sample_accession	axis	program_type	spatial_program	spot_spearman	n_spots
GSM6086618	F1	EXTENDED	myeloid_dendritic	0.5930631769343445	1044
GSM6086618	F1	EXTENDED	T_NK_cytotoxic	0.5899436323913879	1044
GSM6086618	F1	EXTENDED	B_plasma	0.2278293031521359	1044
GSM6086618	F2	CORE	keratinocyte_basal	0.5375079399533188	1044
GSM6086618	F2	CORE	keratinocyte_spinous_suprabasal	0.2746907790460364	1044
GSM6086618	F2	CORE	keratinocyte_inflammatory_T17	0.44814413403902387	1044
GSM6086618	F2	CORE	keratinocyte_stress_hypoxia	0.5476358284664766	1044
GSM6086618	F2	CORE	fibroblast_matrix	-0.0587654240327668	1044
GSM6086618	F2	CORE	fibroblast_inflammatory	0.34610264805472674	1044
GSM6086618	F2	CORE	endothelial_vascular	0.4638495459024023	1044
GSM6086618	F2	CORE	myeloid_dendritic	0.6070477646225506	1044
GSM6086618	F2	CORE	T_NK_cytotoxic	0.6030863827658185	1044
GSM6086618	F2	CORE	B_plasma	0.22630685290153588	1044
GSM6086618	F2	EXTENDED	keratinocyte_basal	0.5378731007958636	1044
GSM6086618	F2	EXTENDED	keratinocyte_spinous_suprabasal	0.2587277474025535	1044
GSM6086618	F2	EXTENDED	keratinocyte_inflammatory_T17	0.44253279238933446	1044
GSM6086618	F2	EXTENDED	keratinocyte_stress_hypoxia	0.5558027384854081	1044
GSM6086618	F2	EXTENDED	fibroblast_matrix	-0.06244780512660728	1044
GSM6086618	F2	EXTENDED	fibroblast_inflammatory	0.34416288032686165	1044
GSM6086618	F2	EXTENDED	endothelial_vascular	0.46628606771284214	1044
GSM6086618	F2	EXTENDED	myeloid_dendritic	0.6000420437532783	1044
GSM6086618	F2	EXTENDED	T_NK_cytotoxic	0.5962154006223491	1044
GSM6086618	F2	EXTENDED	B_plasma	0.22477650197625604	1044
GSM6086618	F6	CORE	keratinocyte_basal	0.5668201495990608	1044
GSM6086618	F6	CORE	keratinocyte_spinous_suprabasal	0.3059104073767627	1044
GSM6086618	F6	CORE	keratinocyte_inflammatory_T17	0.4849597195568277	1044
GSM6086618	F6	CORE	keratinocyte_stress_hypoxia	0.5613212311729306	1044
