donor_id	gsm	timepoint	tissue_state	baseline_primary	cell_type	refined_state	F1_CORE_mean	F1_CORE_count	F1_EXTENDED_mean	F1_EXTENDED_count	F2_CORE_mean	F2_CORE_count	F2_EXTENDED_mean	F2_EXTENDED_count	F6_CORE_mean	F6_CORE_count	F6_EXTENDED_mean	F6_EXTENDED_count	F7_CORE_mean	F7_CORE_count	F7_EXTENDED_mean	F7_EXTENDED_count
P1	GSM7120451	day3	lesional	False	keratinocyte	keratinocyte_inflammatory_T17	0.34153304395072864	2970	0.23420400837643265	2970	0.1375090312596463	2970	0.1538903881814841	2970	0.3832110662778854	2970	0.3557226256488043	2970	1.2071475701015846	2970	0.6876174224666257	2970
P1	GSM7120451	day3	lesional	False	keratinocyte	keratinocyte_proliferative	0.35766715460328163	21	0.26015233903972607	21	0.17543356288126707	21	0.1861084377034905	21	0.41242119501863894	21	0.42289405904225996	21	1.3030642092414921	21	0.7513969439947695	21
P1	GSM7120451	day3	lesional	False	keratinocyte	keratinocyte_spinous_suprabasal	0.3413910043691581	560	0.2302033409298981	560	0.13209987762966513	560	0.1547944438039655	560	0.3569827883063615	560	0.3280741078440739	560	1.1452702354273876	560	0.6539502753934952	560
P1	GSM7120451	day3	lesional	False	keratinocyte	keratinocyte_stress_hypoxia	0.271584006584235	48	0.19630265189452856	48	0.14243628977182196	48	0.16125217984631948	48	0.31533843888128793	48	0.31505543503203864	48	1.1357447647622358	48	0.6447226568186157	48
P1	GSM7120451	day3	lesional	False	mast_cell	mast_cell	0.1492717048984623	351	0.08795583087665756	351	0.04995935264296604	351	0.06429089114567565	351	0.13981304433144132	351	0.13052920440920487	351	0.7319224941474833	351	0.3867600649205797	351
P1	GSM7120451	day3	lesional	False	melanocyte	melanocyte_unresolved	0.3909457767549786	170	0.2742962428099639	170	0.1644996282374825	170	0.18810311045866054	170	0.38850368625781423	170	0.3439507292830202	170	0.9927515027987118	170	0.595498300487445	170
P1	GSM7120451	day3	lesional	False	myeloid_monocyte	dendritic_LAMP3_CCR7	0.24984087238965916	197	0.19545875477140498	197	0.1481599329652149	197	0.15619530755248495	197	0.3629604555338126	197	0.34950648724521155	197	1.3058391903094178	197	0.755245949234636	197
P1	GSM7120451	day3	lesional	False	myeloid_monocyte	myeloid_monocyte_macrophage	0.2541290304194	738	0.19599479414991464	738	0.14576161351519754	738	0.15622639539564093	738	0.3594890979099858	738	0.32777758573431576	738	1.1883244338365522	738	0.6976331107221311	738
P1	GSM7120451	day3	lesional	False	myeloid_monocyte	myeloid_monocyte_unresolved	0.17316981113608665	4	0.09146367435280922	4	0.04887088167218068	4	0.07188015508759847	4	0.12224989505044782	4	0.1157300886994887	4	0.5847459953771164	4	0.2932883394637088	4
P1	GSM7120451	day3	lesional	False	pericyte_smooth_muscle	pericyte_smooth_muscle_unresolved	0.3047160309148952	874	0.22768099261785937	874	0.17332338021358634	874	0.1887216069959	874	0.35923758971514597	874	0.35254978320232117	874	1.2571442267957031	874	0.7092508676124372	874
P1	GSM7120451	day3	lesional	False	unassigned	unassigned_unresolved	0.13893852969711673	1	0.0753493700959493	1	0.04074783730981951	1	0.058122352439508765	1	0.11401202486537448	1	0.13629496182997808	1	0.7973522208900317	1	0.4011887753065901	1
P1	GSM7120452	day14	lesional	False	B_cell	B_cell_plasma	0.30970213445075184	125	0.2119179649004804	125	0.14317858255654506	125	0.16716166797642287	125	0.3247715633583651	125	0.32795449820235584	125	1.2982857112663901	125	0.7247502107313731	125
P1	GSM7120452	day14	lesional	False	B_cell	B_cell_unresolved	0.28838868318666444	671	0.19211324510657213	671	0.1247102749990553	671	0.1500883744655301	671	0.29465156621353017	671	0.2939300591646176	671	1.2059063471459364	671	0.6697685502965598	671
P1	GSM7120452	day14	lesional	False	NK_cell	T_cell_TRM_T17_like	0.2529782159986181	1	0.16866368686954678	1	0.1367666410191158	1	0.14278880154933238	1	0.2817159225431865	1	0.2569236410478061	1	1.2377318855106298	1	0.6923065631411389	1
P1	GSM7120452	day14	lesional	False	NK_cell	cytotoxic_NK_T	0.2827538016922085	17	0.19852805165141807	17	0.13780186510792108	17	0.15466042547157216	17	0.3343335971105819	17	0.3170436077375493	17	1.2300827505808125	17	0.7012851741867607	17
P1	GSM7120452	day14	lesional	False	T_cell	T_cell_TRM_T17_like	0.2650538856841305	120	0.18714968885383787	120	0.12793836104879627	120	0.1428741704940851	120	0.3124564538014607	120	0.31574904789795305	120	1.2417863826010265	120	0.6986368282427253	120
P1	GSM7120452	day14	lesional	False	dendritic	dendritic_LAMP3_CCR7	0.29155750291676713	47	0.21462879258153889	47	0.14967791110677772	47	0.17025396494392958	47	0.3677018259049798	47	0.35692938964054943	47	1.2536308257156141	47	0.7489453002023367	47
P1	GSM7120452	day14	lesional	False	dendritic	dendritic_unresolved	0.28444924913719266	1	0.1632045350479188	1	0.08292999462907791	1	0.11218402152211573	1	0.2684568828052495	1	0.19280914682406655	1	1.026603880759713	1	0.5553801523638189	1
P1	GSM7120452	day14	lesional	False	dendritic	myeloid_monocyte_macrophage	0.29803139583537597	34	0.2199653808578071	34	0.15581933261019876	34	0.17157514593928985	34	0.3841622051234468	34	0.3626099157629977	34	1.3009519488809016	34	0.7829479322272935	34
P1	GSM7120452	day14	lesional	False	endothelial	endothelial_activated	0.31355856954155864	632	0.2179447235768249	632	0.1489299914437396	632	0.17427521210934105	632	0.3271967359585377	632	0.3252508157353044	632	1.2598187179602034	632	0.7059710221424387	632
P1	GSM7120452	day14	lesional	False	endothelial	endothelial_vascular	0.3116319407225163	657	0.21287140764638576	657	0.1493796858001482	657	0.17170193753132812	657	0.31499593784518154	657	0.31129103738369224	657	1.2193008215310952	657	0.6817740829981497	657
P1	GSM7120452	day14	lesional	False	fibroblast	fibroblast_homeostatic_matrix	0.33433938775639993	1925	0.24934857708518776	1925	0.16863239004037628	1925	0.20536272673800082	1925	0.34004688537200417	1925	0.33731540693652184	1925	1.1635226558058283	1925	0.6737952713535929	1925
P1	GSM7120452	day14	lesional	False	fibroblast	fibroblast_inflammatory	0.30552821671250613	69	0.21478670519630097	69	0.13320570100838897	69	0.17006019064499026	69	0.28031430059460805	69	0.296793805261407	69	1.1054166894055049	69	0.6268498872190973	69
P1	GSM7120452	day14	lesional	False	fibroblast	fibroblast_unresolved	0.4014790710541513	2	0.2843544065443798	2	0.15209723402287997	2	0.19132952922804503	2	0.34000595671658573	2	0.31783821355665726	2	0.9415541287339091	2	0.5813843008789215	2
