factor	view	feature	feature_family	feature_name	loading	abs_loading_rank_within_factor_view
F3	BLD	Reactome::SARS-CoV-2 modulates autophagy	Reactome	SARS-CoV-2 modulates autophagy	0.1382938176393509	335.0
F4	BLD	Reactome::SARS-CoV-2 modulates autophagy	Reactome	SARS-CoV-2 modulates autophagy	-0.1111849844455719	329.0
F5	BLD	Reactome::SARS-CoV-2 modulates autophagy	Reactome	SARS-CoV-2 modulates autophagy	-0.001879210933111608	17.0
F6	BLD	Reactome::SARS-CoV-2 modulates autophagy	Reactome	SARS-CoV-2 modulates autophagy	-5.1995477406308055e-05	317.0
F7	BLD	Reactome::SARS-CoV-2 modulates autophagy	Reactome	SARS-CoV-2 modulates autophagy	0.3824591636657715	121.0
F8	BLD	Reactome::SARS-CoV-2 modulates autophagy	Reactome	SARS-CoV-2 modulates autophagy	4.97718938277103e-05	318.0
F1	BLD	Reactome::Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	Reactome	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	-0.07360036671161652	29.0
F2	BLD	Reactome::Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	Reactome	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	-6.488004873972386e-05	233.0
F3	BLD	Reactome::Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	Reactome	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	-0.14486099779605865	331.0
F4	BLD	Reactome::Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	Reactome	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	-0.15375377237796783	281.0
F5	BLD	Reactome::Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	Reactome	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	-0.0012558531016111374	43.0
F6	BLD	Reactome::Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	Reactome	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	-0.00021927272609900683	67.0
F7	BLD	Reactome::Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	Reactome	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	0.5159039497375488	64.0
